Gender,Course,Study Year,CGPA,Study Days per Week,Study Hours per Day,Study Hours Before Exam,Study Method,Study Schedule,Follow Schedule Frequency,Procrastination Level,Deadline Management,Social Media During Study,Part-Time Job,Work Hours per Week,Study Place,Family Support,Sleep Hours,Stress Level (Beginning of Semester),Stress Level (End of Semester)
Female,Bachelor of Teaching English as a Second Language (TESL),2,3.5,4,1.5,3.5,Doing practice questions,No,,4,Good,Sometimes,No,0.0,Room,Very Supportive,6.5,3,5
Female,Bachelor of Medicine Bachelor of Surgery (MBBS ),2,3.5,2,0.5,7.0,Summarizing/making notes,No,,5,Average,Always,No,0.0,"Room, Cafe",Neutral,4.5,3,5
Female,Bachelor of Accounting ,2,3.5,4,1.5,7.0,Doing practice questions,Yes,Sometimes,3,Good,Sometimes,No,0.0,Room,Neutral,4.5,1,4
Female,Bachelor of Computer Science ,2,3.5,2,0.5,7.0,Doing practice questions,No,,3,Average,Always,No,0.0,Room,Very Supportive,6.5,3,3
Female,Bachelor of Education,2,3.5,3,1.5,3.5,Summarizing/making notes,No,,4,Average,Always,No,0.0,Room,Neutral,4.5,1,1
Female,Bachelor of Psychology,1,3.5,6,1.5,7.0,Reading lecture notes,No,,5,Good,Always,No,0.0,"Library, Room",Very Supportive,8.5,2,5
Male,Bachelor of Computer Science ,2,3.5,5,5.5,7.0,Summarizing/making notes,Yes,Always,4,Average,Never,No,0.0,"Library, Room, Cafe, Campus Study Area",Very Supportive,6.5,1,5
Female,Bachelor of Computer Science,2,3.5,5,1.5,3.5,Doing practice questions,No,,3,Average,Never,Yes,7.5,Room,Very Supportive,8.5,1,4
Female,Bachelor of Arts,1,3.5,5,1.5,3.5,Summarizing/making notes,No,,3,Good,Sometimes,No,0.0,"Library, Room",Very Supportive,4.5,4,3
Female,Bachelor of Information Technology ,2,3.5,3,1.5,7.0,Doing practice questions,No,,3,Good,Sometimes,No,0.0,"Library, Room, Campus Study Area",Very Supportive,4.5,1,5
Male,Bachelor of Computer Science ,2,3.5,3,1.5,3.5,Watching recorded lectures/videos,No,,3,Good,Sometimes,Yes,7.5,"Library, Room",Very Supportive,6.5,3,1
Female,Bachelor of Biomedical Sciences ,2,3.5,4,3.5,7.0,Summarizing/making notes,No,,3,Good,Sometimes,No,0.0,Room,Very Supportive,6.5,2,4
Female,Bachelor of Medicine Bachelor of Surgery (MBBS ),2,3.5,7,5.5,7.0,Summarizing/making notes,Yes,Sometimes,3,Good,Sometimes,No,0.0,Room,Neutral,4.5,1,5
Female,Bachelor of Computer Science,2,3.5,5,3.5,5.5,Doing practice questions,No,,4,Good,Sometimes,Yes,7.5,"Room, Campus Study Area",Very Supportive,4.5,2,4
Female,Bachelor of Pharmacy ,2,3.5,5,1.5,7.0,Reading lecture notes,Yes,Sometimes,3,Average,Always,No,0.0,"Library, Room",Very Supportive,4.5,3,5
Female,Bachelor of Business Management,2,3.5,3,1.5,3.5,Doing practice questions,No,,4,Good,Sometimes,No,0.0,"Room, Campus Study Area",Very Supportive,4.5,2,4
Female,Bachelor of Teaching English as a Second Language (TESL),3,3.5,4,1.5,3.5,Summarizing/making notes,Yes,Sometimes,4,Average,Sometimes,No,0.0,"Library, Room, Campus Study Area",Neutral,6.5,1,1
Female,Bachelor of Islamic Course,3,3.5,5,1.5,5.5,Summarizing/making notes,No,,4,Average,Sometimes,Yes,2.5,"Library, Room, Campus Study Area",Neutral,4.5,2,4
Female,Bachelor of International Business,1,3.5,3,3.5,5.5,Doing practice questions,Yes,Sometimes,4,Average,Sometimes,No,0.0,"Library, Room",Neutral,6.5,2,4
Female,Bachelor of Accounting ,3,3.5,4,1.5,7.0,Doing practice questions,Yes,Sometimes,4,Good,Sometimes,No,0.0,Library,Very Supportive,6.5,2,5
Male,Bachelor of Computer Science,1,3.5,7,0.5,7.0,Reading lecture notes,Yes,Always,1,Good,Sometimes,No,0.0,"Library, Room, Cafe, Campus Study Area",Very Not Supportive,10.0,3,2
Female,Bachelor of Dental Surgery,2,3.5,4,3.5,5.5,Summarizing/making notes,No,,3,Average,Sometimes,No,0.0,"Library, Room",Very Supportive,6.5,3,4
Female,Bachelor of Computer Science,1,4.0,6,5.5,7.0,Summarizing/making notes,No,,5,Average,Always,No,0.0,Campus Study Area,Very Supportive,6.5,4,4
Female,Bachelor of Pharmacy,2,3.5,4,3.5,7.0,Summarizing/making notes,No,,3,Good,Sometimes,No,0.0,"Library, Room",Very Supportive,4.5,1,5
Female,Bachelor of Accounting ,1,3.5,5,3.5,7.0,Summarizing/making notes,No,,3,Good,Always,No,0.0,"Library, Room, Cafe, Campus Study Area",Very Supportive,6.5,1,5
Female,Bachelor of Medicine Bachelor of Surgery (MBBS ),2,3.5,7,5.5,7.0,Watching recorded lectures/videos,No,,3,Average,Always,No,0.0,"Library, Campus Study Area",Very Supportive,4.5,4,4
Female,Bachelor of Medicine Bachelor of Surgery (MBBS ),2,3.5,7,5.5,5.5,Reading lecture notes,No,,3,Average,Sometimes,No,0.0,Room,Very Supportive,4.5,4,5
